Codigo;Nome;Sigla;CodigoPai
1017;Departamento da Ásia Central, Meridional e Oceania;DAO;91108
278;Departamento de Organismos Internacionais;DOI;58736
15945;Departamento Econômico;DEC;3139
91109;Subsecretaria-Geral de Cooperação, Cultura e Promoção Comercial;SCBE;2034
282;Departamento de Promoção Comercial e Investimentos;DPR;91109
110279;Subsecretaria-Geral de Meio Ambiente, Energia, Ciência e Tecnologia;SGET;2034
1745;Departamento Cultural;DC;91109
284;Departamento de Temas Científicos e Tecnológicos;DTT;110279
77703;Subsecretaria-Geral das Comunidades Brasileiras no Exterior;SCBE;2034
288;Departamento Consular e de Brasileiras no Exterior;DCBE;77703
91110;Departamento de Imigração e Assuntos Juridicos;DE;77703
2034;Secretaria-Geral das Relações Exteriores;SG;263
1930;Ministério da Previdência Social;MPS;26
304;Ministério da Saúde;MS;26
1801;Secretaria de Direitos Humanos da Presidência da República;SDH;26
42672;Ministério das Cidades;MCIDADES;26
324;Departamento de Polícia Federal;DPF;316
75391;Diretoria Técnico-Científica;DITEC;324
22258;Diretoria Executiva;DIREX;324
75392;Diretoria de Gestão de Pessoal;DGP;324
2837;Casa Civil da Presidência da República;CC-PR;26
72573;Secretaria-Executiva;SE;42672
56501;Coordenação-Geral de Processamento e Preservação do Acervo;COPRA;334
334;Arquivo Nacional;AN;316
23601;Coordenação de Administração;COOR02-ON;346
346;Observatório Nacional;ON-MCT;1988
166;Superintendência da Zona Franca de Manaus;SUFRAMA;3162
357;Superintendência Adjunta de Planejamento e Desenvolvimento Regional;SAP;166
360;Superintendência-Adjunta de Operações;SAO-SUFRA;166
364;Coordenação-Geral de Recursos Logísticos;CGLOG-SUFRA;363
363;Superintendência-Adjunta de Administração;SAD-SUFRA;166
73970;Subsecretaria de Planejamento, Orçamento e Administração;SPOA;72573
382;Instituto Nacional da Propriedade Industrial;INPI;3162
78366;Diretoria de Cooperação para o Desenvolvimento;DICOD;382
2;Banco Nacional de Desenvolvimento Econômico e Social;BNDES;3162
20717;Diretoria de Administração;Dirad;83687
103733;Pró-Reitoria de Ensino;PREn;103731
100917;Instituto Federal de Educação, Ciência e Tecnologia do Pará;IFPA;244
103668;Reitoria;Reitoria;100921
100911;Instituto Federal de Educação, Ciência e Tecnologia do Ceará;IF CE;244
100922;Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco;IF PE;244
29795;Coordenação-Geral de Recursos Humanos;CP-EAFRV;8335
105117;Campus Maceió;CM - IFAL;100900
100909;Instituto Federal de Educação, Ciência e Tecnologia de Sergipe;IFS;244
100914;Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais;IF MG;244
100912;Instituto Federal de Educação, Ciência e Tecnologia do Espírito Santo;IF ES;244
100930;Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro;IF RJ;244
100931;Instituto Federal de Educação, Ciência e Tecnologia Fluminense;IF FLUMINENSE;244
100916;Instituto Federal de Educação, Ciência e Tecnologia de Mato Grosso;IF MT;244
88;Comitê Brasileiro de Nomenclatura;CBN;1929
479;Secretaria-Executiva;SE-CBN;88
41594;Departamento de Planejamento, Orçamento e Finanças;Deorf;113057
40;Divisão de Pessoal;DP;45
491;Seção de Pessoal Civil;N/D;40
41267;Gerência-Executiva - B - em Maceió;GEXMCO;86788
41275;Gerência-Executiva - B - em Vitória da Conquista;GEXVTC;86788
41354;Gerência-Executiva - B - Ribeirão Preto;GEXRBP;86723
41311;Gerência-Executiva - B - em Teresina;GEXTER;86788
41283;Gerência-Executiva - B - em São Luís;GEXSLZ;86788
48594;Coordenação de Geofísica;COGE;346
93965;Coordenação de Estudos Técnicos e Informações;COETI;95576
101011;Procuradoria-Geral Adjunta de Consultoria e Contencioso Tributário;PGACCT;78
2952;Superintendência de Administração do Ministério da Fazenda no Estado do Rio de Janeiro;SAMF-RJ;8814
1986;Secretaria do Patrimônio da União;SPU;2981
229;Conselho Nacional de Seguros Privados;CNSP;1929
122268;Assessoria Especial para Grandes Eventos;AEGE/EMCFA;113147
69848;Regional Brasília;R-BSA;90
85356;Biotério Central;BC-PRP;26112
118321;Diretoria de Política Regulatória;N/D;115734
48167;Coordenação Regional do ICMBio em Bélem;CR-4;91842
106472;Coordenação-Geral de Administração;CGADM;106459
106474;Coordenação de Material e Patrimônio;COMAP;106472
47318;Coordenação de Processos Minerais;CPM;24752
89408;Coordenação Regional do ICMBio em Lagoa Santa ;CR 11Lagoa /MG;91842
70564;Parque Nacional da Chapada dos Veadeiros;PARNA-Veadeiros;89408
46285;Parque Nacional de Itatiaia;PARNA-ITATIAIA;103263
75181;Coordenação-Geral de Serviços e Programas de Computador;CGSC;75173
240;Instituto Nacional de Metrologia, Qualidade e Tecnologia;INMETRO;3162
241;Instituto Brasileiro de Turismo;EMBRATUR;72084
20813;Diretoria de Mercados Internacionais;DMINT;241
25112;Divisão Orçamentária;DOR;20810
103322;Divisão de Convênios;DCV;18520
3605;Departamento de Comercialização e Abastecimento Agrícola e Pecuário;DEAGRO/SPA;2035
370;Gabinete;GAB;367
22246;Alfândega da Receita Federal do Brasil no Aeroporto Internacional Pinto Martins;ALF-AIPM;3150
47964;Divisão do Reator de Pesquisa;CEREP;47611
47626;Divisão de Química e Meio Ambiente;DIQMA;47611
47820;Divisão de Regulação Técnica e Programas de Avaliação da Conformidade;DIPAC;569
2036;Consultoria Jurídica;CJ;1926
22359;Divisão de Execução Orçamentária e Financeira;DEOF;22351
61981;Gerência-Executiva - B - Teófilo Otoni;GEXTEO;86846
46420;Gerência-Executiva - B - Criciúma;GEXCRI;86810
54897;Diretoria de Gestão de Pessoas;DGP;1934
90007;Gerência-Geral de Gestão de Tecnologia da Informação;GGTIN;125984
107057;Coordenação-Geral de Análises de Projetos;CGAP;103292
15883;Gerência Regional do Trabalho e Emprego em Itaguaí;GRTE-RJ;3478
103292;Secretaria-Executiva do Conselho Nacional das Zonas de Processamento de Exportação;SECNZPE;3162
107060;Coordenação-Geral de Planejamento, Normas e Fiscalização;CGPNF;103292
22405;Coordenação-Geral de Planejamento e Modernização;CPLAM;75394
73330;Coordenação de Normas e Suporte Técnico;COORD;3672
221;Fundação Jorge Duprat Figueiredo, de Segurança e Medicina do Trabalho;FUNDACENTRO;2844
9006;Delegacia da Receita Federal do Brasil de Julgamento em Fortaleza;DRJ-FOR;77
3672;Departamento de Operações de Comércio Exterior;DECEX;3215
95586;Secretaria de Ciência, Tecnologia e Inovação da Marinha;SCTIM;185
422;Universidade Federal de Goiás;UFG;244
101013;Departamento de Gestão da Dívida Ativa da União;DGDA;78
101012;Procuradoria-Geral Adjunta de Consultoria Administrativa;PGACA;78
73693;Gerência de Recursos Logísticos;GRL;2952
10509;Centro de História e Documentação Diplomática;CBRB;299
108159;Divisão do Centro de Assistência Técnica e Extensão Rural;CENEX/SUEBA;3754
94154;Coordenação-Geral de Temas Multilaterais;CGTM;3673
1694;Coordenação-Geral de Programação Financeira;COFIN;105647
20858;Embaixada do Brasil em Amã;BRASEMB AMAN;263
878;Embaixada do Brasil em Nova Delhi;BRASEMB NOVA DEL;263
16205;Hospital Universitário de Brasília;HUB-UnB;470
2224;Gabinete;GAB-SEDH;1801
3348;Delegacia da Receita Federal do Brasil em Campinas;DRF-CPS;3163
15405;Departamento de Tecnologia da Informação;DETINF-CEFET-RJ;448
106473;Coordenação de Serviços;COSER;106472
7592;Gabinete;GD;1190
358;Coordenação-Geral de Planejamento e Programação Orçamentária;CGPRO;357
3792;Superintendência-Adjunta de Projetos;SPR;166
122713;Coordenação-Geral de Antidumping e Solução de Controvérsias;N/D;3674
125992;Gerência-Geral de Conhecimento, Informação e Pesquisa;N/D;125984
81094;Coordenação de Apoio Operacional;CAO/SRI;81093
15389;Serviço de Comunicação em Saúde;N/D;15381
15397;Serviço de Multimeios;SERMU;15381
74572;Departamento de Gestão ;DGes;43945
366;Coordenação-Geral de Recursos Humanos;CGRHU-SUFR;363
21293;Pró-Reitoria de Pós-Graduação;PRPG/UFLA;10776
15536;Biblioteca Lincoln de Freitas Filho;BLINF;15381
3938;Coordenação-Geral de Execução Orçamentária e Financeira;CGORF;363
361;Coordenação-Geral de Controle de Mercadorias e Cadastro;CGMEC;360
36258;Diretoria da Unidade João Pessoa;DUS-CEFETPB;104891
246;Consultoria Jurídica;CONJUR/MEC;244
87297;Diretoria Administrativa, Financeira e de Fiscalização;Diafi;2114
956;Fundação Escola Nacional de Administração Pública;ENAP;2981
10895;Centro de Humanidades;CEH-UFC;416
959;Companhia Docas do Estado de São Paulo;CODESP;92748
299;Fundação Alexandre de Gusmão;FUNAG;263
982;Laboratório Nacional de Computação Científica;LNCC - MCT;1988
2806;Departamento do Meio Ambiente e Temas Especiais;DME;110279
104130;Superintendência Federal de Pesca e Aquicultura no Paraná;SFPA;72083
91108;Subsecretaria-Geral Política II;SGAP;2034
58;Comando-Geral de Operações Aéreas;COMGAR;48
47436;Coordenação-Geral de Administração e Finanças;CGADM;24744
1927;Ministério do Meio Ambiente;MMA;26
955;Departamento de Ensino da Aeronáutica;DEPENS;48
44391;6ª Região Militar;6ª RM;1599
50;Estado-Maior da Aeronáutica;EMAER;48
96;Estado-Maior do Exército;E M E;94
110281;Departamenta da Ásia do Leste;DAO;91108
113147;Chefia de Operações Conjuntas;CHOC;41110
78827;Seção de Atividades Gerais;SAG/DAD-SC;83409
1207;Campus Bento Gonçalves;CBG/IF RS;100918
39;Divisão de Expediente;D EXP;37
41133;Diretoria de Orçamento, Finanças e Logística;DIROFL;1934
27478;Prefeitura Universitária;PREFE;27410
1109;Biblioteca;Bibl;41
120888;Divisão de Gerenciamento de Documentação e Informação;DGDIN;41133
103261;Coordenação Regional do ICMBio em Cabedelo;CR 6-PB ;91842
218;Centro de Inteligência da Marinha;CIM;185
1120;Divisão de Meios Auxiliares ao Estudo;DMAE;45
35;Hospital das Forças Armadas;HFA;41066
48226;Coordenação Regional do ICMBio em Porto Seguro;CR-7;91842
118885;Subdivisão de Arquivo Médico;N/D;1133
93920;Gabinete;GABIN;91842
46691;Departamento de Inteligência Estratégica;DIE;45104
23666;Secretaria de Gestão do Trabalho e da Educação na Saúde;SGTES;304
100910;Instituto Federal de Educação, Ciência e Tecnologia do Amazonas;IFAM;244
100921;Instituto Federal de Educação, Ciência e Tecnologia do Maranhão;IF MA;244
103055;Campus Iguatu;CI ;100911
100905;Instituto Federal de Educação, Ciência e Tecnologia da Paraíba;IF PB;244
100900;Instituto Federal de Educação, Ciência e Tecnologia de Alagoas;IFAL;244
100920;Instituto Federal de Educação, Ciência e Tecnologia Baiano;IF BAIANO;244
100901;Instituto Federal de Educação, Ciência e Tecnologia do Norte de Minas Gerais;IF MG N;244
100903;Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro;N/D;244
100915;Instituto Federal de Educação, Ciência e Tecnologia do Sul de Minas Gerais;IF MG S;244
100902;Instituto Federal de Educação, Ciência e Tecnologia Sudeste de Minas Gerais;IFMGSE;244
100913;Instituto Federal de Educação, Ciência e Tecnologia Goiano;IF-GOIANO;244
100918;Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul;IF RS;244
89;Banco Central do Brasil;BACEN;1929
42673;Secretaria-Geral da Presidência da República;SG/PR;26
52303;Controladoria-Geral da União;CGU;26
8392;Departamento de Desenvolvimento Educacional;DDE-EAFC;1208
110278;Departamento dos Estados Unidos, Canada e Assuntos Interamericanos;SGET;58736
169;Companhia de Desenvolvimento dos Vales do São Francisco e do Parnaíba;CODEVASF;42670
448;Centro Federal de Educação Tecnológica ?Celso Suckow da Fonseca?;CEFET-RJ;244
447;Campus Vitória;CES IFES;100912
36426;Diretoria de Material;DM-PRA-FUFV;34712
96081;Coordenação-Geral de Planejamento e Organização;CGPO;303
76062;Delegacia de Repressão a Crimes Contra o Meio-Ambiente e Patrimônio Histórico;DELEMAPH-SP;22272
7836;Coordenadoria Estadual na Bahia;CEST-BA;367
103264;Coordenação Regional do ICMBio em Florianopolis;CR 9-SC;91842
103265;Coordenação Regional do ICMBio na Chapadas dos Guimarães;CR10-MT;91842
76151;Conselho Gestor do Programa Bolsa Família;CPBF;1945
41286;Gerência-Executiva - B - em Dourados;GEXDOU;86769
10908;Centro de Ciências Agrárias;CCA-UFC;416
15984;Procuradoria Regional da União 5ª Região Pernambuco;PRU-5ªR/PE;3619
3422;Comando da Divisão Anfíbia;ComDivAnf;1394
3423;Comando da Tropa de Reforço;ComTrRef;1394
1394;Comando da Força de Fuzileiros da Esquadra;ComFFE;191
68676;Campus Valença - Tento;VALENÇA;444
119902;Coordenação de Assuntos Tributários e Aduaneiros;Coata;99562
70081;Departamento de Engenharia de Produção;DEP-UFPE;13073
13875;Procuradoria Regional da União 4ª Região Rio Grande do Sul;PRU-4ª R/POA;3619
72901;Procuradoria da União no Estado do Paraná;PU-PR;13875
36474;Diretoria de Pesquisa, Graduação e Pós-Graduação;DPGPG;446
28916;Centro de Educação, Comunicação e Letras;CENCEL;1605
936;Coordenação de Comunicações Administrativas;COADM;364
41383;Procuradoria Seccional B junto ao INSS em Macapá;PROSMCP;41268
16262;Faculdade de Educação;N/D;465
20716;Secretaria-Executiva;Secre;89
107365;Departamento de Ciências Humanas;DCH;10776
54844;Departamento Nacional de Infraestrutura de Transportes;DNIT/MT;2846
1523;Câmara Brasileira de Usuários e Transportadores Rodoviários de Bens;N/D;54844
97;Conselho Superior de Economia e Finanças;CON S E F;94
14150;Departamento da Cana-de-Açúcar e Agroenergia;DCAA/SPAE;3214
485;Comissão do Serviço Militar;COSEMI;41066
89956;Campus de Sorocaba;DeSiC-S;475
68487;Secretaria de Políticas para as Mulheres da Presidência da República;SPM;26
38;Divisão de Segurança;D SEG;37
490;Assessoria Militar e de Relações Exteriores;A Mil R Ext;120588
120803;Divisão de Telemática;DiTel;45
510;Seção de Saúde;SSau;40
1595;Divisão Orçamentária e Financeira;DiOrFi;45
1586;Seção de Pagamento;N/D;1595
1589;Seção de Prestação de Contas;N/D;1595
1592;Divisão de Planejamento e Controle Administrativos;DPC ADM;45
1192;Campus Uberlândia Centro;N/D;100903
9177;Delegacia da Receita Federal do Brasil de Julgamento em São Paulo ;DRJ-SPO I;77
83289;Câmara de Políticas de Gestão Pública;CPGP;1932
118890;Subdivisão de Nutrição e Dietética;N/D;1133
118896;Subdivisão de Psicologia;N/D;1133
74931;Secretaria de Ciência, Tecnologia e Insumos Estratégicos;SCTIE;304
3273;Secretaria-Executiva;SE;304
75158;Departamento de Monitoramento e Avaliação do SUS;N/D;3273
116386;Campus São Paulo;N/D;464
2055;Secretaria de Políticas e Programas de Pesquisa e Desenvolvimento;SEPED-MCT;1988
12;Instituto Brasileiro de Informação em Ciência e Tecnologia;IBICT;1988
14050;Assessoria de Assuntos Internacionais;ASSIN-MCT;1988
75191;Coordenação-Geral de Bens Sensíveis;CGBE;14050
14046;Assessoria de Acompanhamento e Avaliação das Atividades Finalísticas;ASCAV;3234
75213;Divisão de Gestão da Informação e Documentação;DGID;75212
119057;Vice-Direção;N/D;35
1631;Divisão Médica;N/D;35
20225;Divisão de Enfermagem;N/D;35
1639;Subdivisão de Enfermagem de Pacientes de Alto Risco;CEPAR;20225
1638;Subdivisão de Medicina Interna;N/D;1631
1133;Divisão de Atividades Complementares;DAC-HFA;35
91144;Superintendência do Desenvolvimento do Nordeste;SUDENE;42670
1675;Coordenação-Geral de Tecnologias de Informação e Informática;CGTI;12
75228;Coordenação de Administração;CORL;12
1660;Coordenação de Desenvolvimento de Sistemas;COIT;1675
105647;Subsecretaria de Política Fiscal;SUPOF;1696
105650;Subsecretaria de Assuntos Corporativos;SUCOP;1696
8;Conselho Nacional de Desenvolvimento Científico e Tecnológico;CNPq;1988
115927;Coordenação de Gestão e Apoio Administrativo;CGAA-MEC;245
100908;Instituto Federal de Educação, Ciência e Tecnologia de Tocantins;N/D;244
110557;Diretoria de Ensino, Pesquisa e Extensão;DREP;95226
68642;Diretoria;DIR-ANTAQ;54843
2802;Superintendência Federal de Agricultura, Pecuária e Abastecimento no Distrito Federal;SFA/DF;14
55;Centro de Comunicação Social da Aeronáutica;CECOMSAER;48
74735;Unidade Tipo A;SE;45104
44035;Coordenação de Execução Orçamentária e Financeira;CEOF;43047
110564;Diretoria de Administração;DRAD;95235
87109;Gerência de Finanças e Administração;Gefad-SUREG-III;87103
874;Embaixada do Brasil em Maputo;BRASEMB MAPUTO;263
33283;Instituto de Informática;II-UFRGS;430
1023;Conselho Nacional do Meio Ambiente ;CONAMA;1927
41295;Gerência-Executiva - B - Poços de Caldas;GEXPCL;86846
1746;Departamento do Serviço Exterior;DSE;1990
265;Departamento de Administração;DA;1990
77699;Coordenação-Geral de Licitações;CLI;265
27;Gabinete de Segurança Institucional da Presidência da República;GSI-PR;26
77469;Coordenação de Execução Orçamentária;COOR-CGOFC;77468
47172;Coordenação de Vigilância Sanitária de Portos, Aeroportos, Fronteiras e Recintos Alfandegados - PE;CVSPAF-PE;38168
72083;Ministério da Pesca e Aquicultura;MPA;26
2764;Conselho Nacional de Previdência Social;CNPS;1930
15143;Centro de Artes e Letras;CAL-UFSM;431
20373;Conselho Deliberativo da Política do Café;CDPC;14
11290;Base Aérea de Boa Vista;BABV;21728
292;Departamento de Comunicações e Documentação;DCD;1990
75870;Coordenação de Material e Patrimônio;COMAP;364
7010;Coordenação Geral de Produção e Pesquisa;CGPP;7009
110563;Diretoria de Ensino, Pesquisa e Extensão;DREP;95235
9026;Delegacia da Receita Federal do Brasil de Julgamento em Belo Horizonte;DRJ-BHE;77
73662;Coordenação de Acompanhamento Setorial II;COAST II;73661
105648;Subsecretaria da Dívida Pública;SUDIP;1696
17125;Ministério do Desenvolvimento Agrário;MDA;26
3953;Gabinete;N/D;3243
430;Universidade Federal do Rio Grande do Sul;UFRGS;244
44321;Distrito Sanitário Especial Indígena - Vale do Javari;DSEI-VAJ;110368
13907;Faculdade de Agronomia;FAGRO-UFRGS;430
10283;Reitoria;REI/UFBA;421
1812;Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis;IBAMA;1927
1826;Diretoria de Licenciamento Ambiental;DILIC;1812
91845;Coordenação-Geral de Autorização de Uso da Flora e Floresta;CGAUF;1836
52909;Superintendência de Apoio à Gestão de Recursos Hídricos;SAG;103484
22366;Diretoria de Inteligência Policial;DIP;324
98535;Superintendência de Gestão e Desenvolvimento de Pessoas;PRPL-UFRPE;14596
14593;Procuradoria Regional da Fazenda Nacional na 5ª Região;PRFN/5;78
91877;Procuradoria-Seccional da Fazenda Nacional em Caruaru;PSFN/CAR;14593
104340;Secretaria Nacional de Promoção dos Direitos da Pessoa com Deficiência;SPDPD;1801
94408;Diretoria Adjunta;DIRAD/DIFIS;45398
9750;Base Aérea de Campo Grande;BACG;21074
1799;Instituto Nacional de Colonização e Reforma Agrária;INCRA;17125
90;Serviço Federal de Processamento de Dados;SERPRO;1929
1872;Gabinete;GAB-INCRA;1799
1463;Conselho de Recursos do Sistema Financeiro Nacional;CRSFN;1929
101010;Procuradoria-Geral Adjunta de Consultoria Fiscal e Financeira;PGACFF;78
472;Universidade Federal de Uberlândia;UFU;244
120068;Instituto de Artes;N/D;472
77712;Coordenação-Geral de Auditoria;N/D;2040
1897;Coordenação de Acompanhamento, Avaliação, Orientação e Controle Financeiro;CAAOF;77712
41334;Gerência-Executiva - B - em Blumenau;GEXBLU;86810
1408;Vice-Presidência da República;VPR;26
41284;Gerência-Executiva - B- em Cuiabá;GEXCBA;86769
1802;Secretaria de Assuntos Legislativos;SAL;316
41930;Representação do Brasil na Junta Interamericana de Defesa;RBJID-MD;113156
9518;Secretaria Nacional de Justiça;SNJ;316
18012;Departamento de Justiça, Classificação, Títulos e Qualificação;DEJUS;9518
74381;Secretaria de Reforma do Judiciário;SRFJ;316
100627;Assessoria de Comunicação Social;ASCOM;21289
34889;Diretoria de Recursos Logísticos;DRLOG;39263
1975;Secretaria de Educação Básica;SEB;244
829;Coordenação Regional de Porto Velho;COREPVH;166
1;Financiadora de Estudos e Projetos;FINEP;1988
41271;Gerência-Executiva - B - em Itabuna;GEXITA;86788
119335;Secretaria Nacional do Consumidor;SNC;316
41279;Gerência-Executiva - A - Vitória;GEXVIT;86846
119419;Gabinete;GAB;119335
104203;Superintendência Federal de Pesca e Aquicultura no Rio Grande do Sul;SFPA;72083
458;Universidade Federal Rural do Semi-Árido;UFERSA-RN;244
757;Secretaria de Defesa Agropecuária;SDA/MAPA;14
3520;Secretaria de Desenvolvimento Agropecuário e Cooperativismo;SDC/MAPA;14
44051;Coordenação de Serviços Gerais;CSG;43046
43832;Coordenação de Administração de Material;COAM;43046
43826;Coordenação de Cadastro, Pagamento e Benefício;COPAB;43039
2174;Conselho Nacional de Política Agrícola;CNPA;14
104231;Superintendência Federal de Pesca e Aquicultura em Minas Gerais;SFPA;72083
55962;Empresa Gestora de Ativos;EMGEA;1929
80968;Assessoria de Gestão Estratégica;AGE/MAPA;14
91794;Coordenação ;COORD;103352
15;Gabinete do Ministro;GM-MAPA;14
103735;Pró-Reitoria de Pesquisa, Pós-Graduação e Inovação Tecnológica;PRPI;103731
3495;Secretaria de Logística e Tecnologia da Informação;SLTI;2981
103375;Divisão 2;DIV;103351
103039;Departamento de Ensino;DEN;95979
14621;Divisão de Administração Predial e de Engenharia ;N/D;233
233;Coordenação de Logística e Infraestrutura;COAD;232
108437;Conselho Consultivo da Floresta Nacional do Tapajós;CC-FLONA TAPAJÓS;76289
24684;Coordenação-Geral de Procedimentos Judiciais;CGPJU;81073
3517;Secretaria-Executiva;SE;2981
73908;Coordenação de Documentação e Informação Bibliográfica;CODIB;73883
32181;Divisão de Epidemiologia;DEP/DSA;2027
113149;Subchefia de Inteligência Operacional;SC-2;113147
317;Gabinete do Ministro;GABMIN;316
766;Secretaria de Educação Superior;SESU;244
73980;Coordenação-Geral de Recursos Logísticos;CGLOG;73970
73982;Coordenação de Documentação;CODOC;73980
3755;Superintendência de Desenvolvimento da Região Cacaueira do Estado de Rondônia;SUERO/CEPLAC;18
73981;Coordenação de Licitações e Contratos;COLIC;73980
46847;Coordenação-Geral de Proteção de Plantas;CGPP/DSV;80969
22219;Secretaria-Geral de Planejamento e Desenvolvimento Institucional;SGPDI;22202
74040;Coordenação de Legislação Trabalhista;COLET;12353
113071;Departamento de Educação;N/D;113067
2075;Câmara Setorial da Cadeia Produtiva de Cultura de Inverno;CSCM;2174
74454;Presidência;PR-CODEVASF;74450
38300;Coordenação-Geral de Estudos Técnicos, Estatísticas e Informações Gerenciais;CGEEI;38296
2313;Assessoria de Comunicação Social;ASCOM;1959
954;Conselho Nacional de Políticas sobre Drogas;CONAD;316
32420;Pró-Reitoria de Pós-Graduação e Pesquisa;POSGRAP;32337
95562;Coordenação-Geral de Política de Seguro Contra Acidentes do Trabalho e Relacionamento Interinstitucional;CGSAT;95561
120418;Coordenação-Geral de Execução Orçamentária e Financeira;N/D;124974
28883;Faculdade de Farmácia, Odontologia e Enfermagem;FFO-UFC;416
8842;Subsecretaria de Planejamento, Orçamento e Administração;SPOA/SE;3200
81010;Coordenação-Geral de Execução Orçamentária e Financeira;CGEOF/SPOA;8842
2240;Coordenação de Administração de Material e Patrimônio;CAMP/CGSG;2121
2118;Coordenação-Geral de Tecnologia da Informação;CGTI/SPOA;8842
72381;Divisão de Software Básico e Rede de Comunicação;DSR/COINT;2125
2119;Coordenação-Geral de Orçamento e Finanças ;CGOF/SPOA;8842
3993;Coordenação de Acompanhamento e Promoção da Tecnologia Agropecuária;CAPTA/DEPTA;3601
110010;Área de Gestão de Empreendimentos de Irrigação;N/D;74454
